"id","question_id","answer_id","value","created_at","updated_at"
"292","58","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"293","58","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"294","58","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"295","59","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"296","59","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"297","59","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"298","59","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"299","59","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"300","60","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"301","60","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"302","60","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"303","60","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"304","60","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"305","61","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"306","61","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"307","61","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"308","61","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"309","61","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"310","62","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"311","62","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"312","62","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"313","62","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"314","62","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"315","63","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"316","63","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"317","63","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"318","63","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"319","63","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"320","64","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"321","64","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"322","64","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"323","64","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"324","64","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"325","65","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"326","65","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"327","65","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"328","65","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"329","65","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"330","66","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"331","66","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"332","66","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"333","66","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"334","66","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"335","67","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"336","67","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"337","67","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"338","67","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"339","67","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"340","68","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"341","68","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"342","68","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"343","68","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"344","68","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"345","69","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"346","69","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"347","69","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"348","69","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"349","69","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"350","70","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"351","70","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"352","70","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"353","70","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"354","70","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"355","71","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"356","71","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"357","71","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"358","71","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"359","71","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"360","72","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"361","72","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"362","72","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"363","72","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"364","72","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"365","73","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"366","73","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"367","73","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"368","73","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"369","73","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"370","74","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"371","74","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"372","74","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"373","74","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"374","74","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"375","75","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"376","75","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"377","75","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"378","75","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"379","75","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"380","76","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"381","76","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"382","76","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"383","76","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"384","76","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"385","77","30","0","2021-05-09 15:06:30","2021-05-09 15:06:30"
"386","77","31","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"387","77","32","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"388","77","33","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"389","77","34","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
